City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,geraldton,-28.77,114.6,78.8,54,20,29.97,AU,1579585220
88,puerto baquerizo moreno,-0.9,-89.6,76.17,89,26,8.28,EC,1579585220
89,esmeraldas,-19.76,-44.31,69.8,94,75,6.93,BR,1579585146
90,west lafayette,40.43,-86.91,27.0,92,90,3.36,US,1579585221
91,port augusta,-32.5,137.77,87.8,23,0,6.93,AU,1579585221
92,olavarria,-36.89,-60.32,70.0,83,89,11.92,AR,1579585221
93,libertador general san martin,-23.81,-64.79,69.17,93,88,4.09,AR,1579585222
94,misratah,32.38,15.09,60.6,70,0,23.55,LY,1579585222
95,cherskiy,68.75,161.3,-23.66,98,100,6.51,RU,1579585223
96,san ignacio,17.16,-89.07,71.6,88,90,9.17,BZ,1579585223
97,tenno,39.9,139.97,32.0,65,75,11.41,JP,1579585223
98,ponta do sol,32.67,-17.1,57.2,62,75,9.17,PT,1579585223
99,bredasdorp,-34.53,20.04,66.2,82,95,16.11,ZA,1579585080
100,kargasok,59.06,80.86,-2.99,97,100,7.05,RU,1579585224
101,port blair,11.67,92.75,81.36,80,18,14.76,IN,1579585093
102,dwarka,22.24,68.97,70.68,47,0,11.77,IN,1579585224
103,adrar,20.5,-10.07,56.52,24,0,7.29,MR,1579585100
104,guerrero negro,27.98,-114.06,61.9,65,88,7.96,MX,1579585102
105,fredericton,45.95,-66.67,5.0,77,1,8.05,CA,1579584948
106,pozo colorado,-23.49,-58.8,84.06,59,98,5.88,PY,1579585225
107,qaanaaq,77.48,-69.36,-16.15,59,75,7.85,GL,1579585080
108,atasu,48.68,71.64,7.81,94,100,13.65,KZ,1579585226
109,upernavik,72.79,-56.15,-1.98,56,96,8.95,GL,1579585187
110,trincomalee,8.57,81.23,86.0,56,95,7.96,LK,1579585226
111,mitu,1.2,-70.17,71.92,98,19,1.19,CO,1579584937
112,caceres,39.52,-6.37,37.0,74,57,1.01,ES,1579585227
113,pevek,69.7,170.31,-16.01,97,100,8.97,RU,1579585092
114,dingle,11.0,122.67,79.12,66,25,14.45,PH,1579585095
115,dunedin,-45.87,170.5,59.0,95,100,16.22,NZ,1579585228
116,rypefjord,70.63,23.67,32.0,76,100,14.99,NO,1579585228
117,torbay,47.67,-52.73,21.99,92,90,10.29,CA,1579585229
118,daru,-9.08,143.21,85.77,80,100,2.66,PG,1579585229
119,east london,-33.02,27.91,68.0,77,93,6.93,ZA,1579585229
120,port alfred,-33.59,26.89,64.99,91,100,5.01,ZA,1579585230
121,buala,-8.14,159.59,85.03,69,39,7.43,SB,1579585230
122,sorland,67.67,12.69,37.4,59,40,27.51,NO,1579585186
123,pochutla,15.74,-96.47,80.19,71,0,5.84,MX,1579585231
124,saint-francois,46.42,3.91,28.99,92,3,3.51,FR,1579585231
125,ullapool,57.9,-5.16,50.0,94,96,1.99,GB,1579585232
126,port macquarie,-31.43,152.92,93.0,40,0,13.87,AU,1579584941
127,georgetown,5.41,100.34,89.6,59,20,4.7,MY,1579585232
128,kavaratti,10.57,72.64,84.2,74,20,4.7,IN,1579585232
129,ambovombe,-25.17,46.08,76.46,51,46,14.97,MG,1579585233
130,santa maria,-29.68,-53.81,73.6,87,100,0.94,BR,1579585159
131,havelock,34.88,-76.9,33.8,55,5,9.17,US,1579585108
132,yambio,4.57,28.4,70.52,33,75,7.11,SS,1579585234
133,tigil,57.8,158.67,3.58,91,96,2.51,RU,1579585234
134,nakskov,54.84,11.13,42.01,81,98,23.17,DK,1579585235
135,homer,59.64,-151.55,21.99,92,1,3.36,US,1579585235
136,richards bay,-28.78,32.04,70.74,72,22,5.93,ZA,1579585235
137,souillac,-20.52,57.52,84.2,79,75,1.12,MU,1579585235
138,ilulissat,69.22,-51.1,17.6,57,100,14.99,GL,1579585236
139,cidreira,-30.18,-50.21,76.14,83,99,30.24,BR,1579585236
140,gushikawa,26.35,127.87,68.0,56,40,3.36,JP,1579585236
141,kruisfontein,-34.0,24.73,64.06,92,100,17.72,ZA,1579585102
142,arroyo,41.61,-4.8,35.01,78,61,17.0,ES,1579585237
143,saint-georges,12.06,-61.75,78.8,83,20,11.41,GD,1579585237
144,elizabeth city,36.29,-76.25,33.8,73,1,13.49,US,1579585237
145,axim,4.87,-2.24,76.26,92,48,0.85,GH,1579585237
146,yellowknife,62.46,-114.35,-5.01,76,75,9.17,CA,1579585238
147,waipawa,-41.41,175.52,73.0,72,1,5.82,NZ,1579585238
148,sao joao da barra,-21.64,-41.05,72.3,89,45,9.93,BR,1579585238
149,kui buri,12.08,99.85,87.8,70,20,8.05,TH,1579585239
150,preobrazheniye,42.9,133.91,25.52,43,0,4.12,RU,1579585239
151,acarau,-2.89,-40.12,76.87,85,100,1.95,BR,1579585094
152,kieta,-6.22,155.63,84.9,66,13,3.8,PG,1579585240
153,touros,-5.2,-35.46,75.2,94,40,3.36,BR,1579585240
154,khatanga,71.97,102.5,-29.43,98,88,6.22,RU,1579585241
155,college,64.86,-147.8,-11.0,75,90,3.0,US,1579585241
156,grand gaube,-20.01,57.66,84.2,79,75,1.12,MU,1579585241
157,new norfolk,-42.78,147.06,68.0,55,20,20.8,AU,1579585078
158,the valley,18.22,-63.06,77.0,83,20,9.17,AI,1579585242
159,hilo,19.73,-155.09,73.99,73,40,5.82,US,1579585032
160,salalah,17.02,54.09,75.2,53,20,1.12,OM,1579585242
161,saldanha,-33.01,17.94,62.6,88,0,10.29,ZA,1579584948
162,gat,31.61,34.76,51.8,71,75,6.93,IL,1579585244
163,chuy,-33.7,-53.46,70.47,97,28,6.49,UY,1579585092
164,xinqing,48.23,129.5,7.9,80,67,4.03,CN,1579585245
165,ribeira grande,38.52,-28.7,56.01,80,95,19.53,PT,1579585084
166,raudeberg,61.99,5.14,42.8,70,40,21.92,NO,1579585246
167,kholm,59.27,32.85,41.22,84,100,12.24,RU,1579585246
168,castro,-24.79,-50.01,62.01,91,70,6.53,BR,1579585147
169,fortuna,40.6,-124.16,55.4,62,90,18.34,US,1579585247
170,siocon,7.71,122.14,83.8,71,12,15.64,PH,1579585248
171,nome,64.5,-165.41,12.2,92,90,9.17,US,1579585248
172,beloha,-25.17,45.05,76.75,49,47,14.5,MG,1579585248
173,beroroha,-21.67,45.17,79.05,79,100,9.01,MG,1579585249
174,lincoln,40.8,-96.67,3.2,84,1,5.17,US,1579585166
175,viedma,-40.81,-63.0,59.27,73,0,6.33,AR,1579585249
176,jamiltepec,16.28,-97.82,67.59,84,16,4.88,MX,1579585250
177,ambulu,-8.35,113.61,82.35,74,66,10.25,ID,1579585250
178,tsnori,41.62,45.97,32.0,81,20,11.41,GE,1579585250
179,provideniya,64.38,-173.3,3.2,77,75,4.47,RU,1579585152
180,port elizabeth,-33.92,25.57,68.0,82,40,11.41,ZA,1579585067
181,chatham,51.38,0.53,36.0,100,0,3.36,GB,1579585251
182,nikolskoye,59.7,30.79,42.8,87,75,24.61,RU,1579585251
183,cacequi,-29.88,-54.83,76.71,80,100,4.36,BR,1579585182
184,savannah bight,16.45,-85.85,78.94,76,70,16.82,HN,1579585252
185,saskylakh,71.92,114.08,-19.68,96,99,7.0,RU,1579585252
186,la ronge,55.1,-105.28,10.4,85,90,4.7,CA,1579585252
187,batemans bay,-35.72,150.18,81.0,71,96,3.0,AU,1579585253
188,sungairaya,0.7,108.9,87.57,63,37,2.68,ID,1579585253
189,alibag,18.64,72.88,86.0,48,0,2.26,IN,1579585253
190,marsh harbour,26.54,-77.06,69.31,59,75,13.22,BS,1579585254
191,bengkulu,-3.8,102.27,90.16,55,15,5.7,ID,1579585254
192,leh,34.17,77.58,1.76,87,97,3.42,IN,1579585254
193,saint-pierre,-21.34,55.48,78.8,83,100,5.82,RE,1579585099
194,jiblah,13.92,44.15,61.79,79,85,4.79,YE,1579585255
195,kahului,20.89,-156.47,73.4,64,1,9.17,US,1579585255
196,krasnoselkup,65.7,82.47,-34.38,98,4,5.79,RU,1579585256
197,takoradi,4.88,-1.76,76.26,92,48,0.85,GH,1579585256
198,gizo,-8.1,156.84,82.17,71,6,5.82,SB,1579585257
199,katsuura,35.13,140.3,55.0,40,20,24.16,JP,1579585080
200,vestmanna,62.16,-7.17,41.0,75,52,27.51,FO,1579585258
201,buraydah,26.33,43.98,46.4,81,0,2.28,SA,1579585224
202,lata,40.16,-8.33,46.99,60,29,8.05,PT,1579585259
203,port hedland,-20.32,118.57,93.2,67,4,16.11,AU,1579585260
204,karratha,-20.74,116.85,86.0,71,0,16.96,AU,1579585260
205,kpandae,8.47,-0.01,74.84,75,82,2.21,GH,1579585261
206,tilichiki,60.47,166.1,-18.94,93,0,3.94,RU,1579585261
207,bourail,-21.57,165.48,77.99,59,85,7.18,NC,1579585261
208,soure,-0.72,-48.52,76.55,90,100,5.41,BR,1579585262
209,artyom,40.47,50.33,37.4,86,75,1.83,AZ,1579585262
210,maceio,-9.67,-35.74,73.4,94,20,3.36,BR,1579585262
211,prince rupert,54.32,-130.32,39.2,86,75,11.41,CA,1579585208
212,sabha,27.04,14.43,48.7,47,0,15.9,LY,1579585263
213,katangli,51.71,143.23,5.88,86,9,8.37,RU,1579585264
214,roebourne,-20.78,117.13,103.84,22,0,11.16,AU,1579585265
215,kaitangata,-46.28,169.85,56.39,92,100,8.88,NZ,1579585265
216,cabedelo,-6.98,-34.83,78.8,83,20,2.24,BR,1579585265
217,plouzane,48.38,-4.62,44.01,81,74,8.05,FR,1579585265
218,tuatapere,-46.13,167.68,57.07,80,100,1.34,NZ,1579585266
219,doha,25.29,51.53,75.0,63,0,6.93,QA,1579585266
220,auki,-8.77,160.7,84.65,74,31,13.0,SB,1579585266
221,coihaique,-45.58,-72.07,55.4,82,0,1.12,CL,1579585091
222,igarka,67.47,86.58,-42.05,97,20,2.75,RU,1579585267
223,phan thiet,10.93,108.1,90.54,41,0,12.8,VN,1579585267
224,maravilha,-26.76,-53.17,73.99,95,60,2.24,BR,1579585267
225,nanortalik,60.14,-45.24,33.06,69,100,24.85,GL,1579585093
226,goure,13.98,10.27,62.01,28,28,7.0,NE,1579585268
227,cameta,-2.24,-49.5,73.11,98,88,2.48,BR,1579585268
228,puerto gaitan,4.31,-72.08,77.41,74,94,3.51,CO,1579585178
229,zyryanka,65.75,150.85,-20.15,98,100,1.66,RU,1579585269
230,korla,41.76,86.15,18.54,51,0,3.2,CN,1579585269
231,saint george,37.1,-113.58,48.2,39,20,4.7,US,1579585068
232,pokhara,28.23,83.98,61.65,43,98,2.26,NP,1579585270
233,akcakoca,41.09,31.12,36.03,89,100,3.98,TR,1579585270
234,gorontalo,0.54,123.06,88.36,55,93,5.79,ID,1579585275
235,severo-kurilsk,50.68,156.12,14.32,85,100,5.14,RU,1579585157
236,huron,41.15,-82.55,24.01,67,90,4.7,US,1579585276
237,tres arroyos,-38.37,-60.28,59.9,97,98,6.89,AR,1579585277
238,lavrentiya,65.58,-171.0,-1.43,92,61,3.13,RU,1579585277
239,santiago del estero,-27.8,-64.26,75.97,91,100,3.71,AR,1579585278
240,dikson,73.51,80.55,-20.6,87,59,23.98,RU,1579585278
241,cayenne,4.93,-52.33,78.8,78,40,6.93,GF,1579585229
242,roald,62.58,6.13,42.8,70,20,18.34,NO,1579585279
243,omboue,-1.57,9.26,76.32,92,71,0.13,GA,1579585279
244,morondava,-20.28,44.28,81.45,81,93,6.67,MG,1579585279
245,kununurra,-15.77,128.73,87.8,70,40,6.93,AU,1579585280
246,uddevalla,58.35,11.94,46.4,87,90,20.8,SE,1579585280
247,paamiut,61.99,-49.67,24.8,79,99,6.8,GL,1579585280
248,arivonimamo,-19.02,47.18,68.0,94,75,3.36,MG,1579585280
249,avera,33.19,-82.53,33.8,74,1,3.36,US,1579585281
250,aksu,41.12,80.26,28.54,61,9,1.83,CN,1579585281
251,alta floresta,-9.88,-56.09,71.74,95,88,1.14,BR,1579585281
252,unai,-16.36,-46.91,69.8,93,77,6.58,BR,1579585281
253,san quintin,30.48,-115.95,58.69,78,100,8.86,MX,1579585283
254,barentu,15.11,37.59,65.07,64,0,2.39,ER,1579585283
255,vostok,46.49,135.88,7.12,89,100,4.94,RU,1579585119
256,mahibadhoo,3.78,72.97,82.9,77,21,19.44,MV,1579585161
257,borovoy,55.43,86.08,-9.4,83,40,2.24,RU,1579585284
258,iwanai,42.97,140.51,24.17,81,100,11.41,JP,1579585285
259,belyy yar,53.6,91.39,-2.2,77,31,4.47,RU,1579585285
260,makrisia,37.62,21.6,46.4,92,2,9.95,GR,1579585285
261,luxor,25.7,32.64,51.8,66,0,4.7,EG,1579585286
262,gornopravdinsk,60.05,69.9,-4.16,92,0,4.61,RU,1579585286
263,ancud,-41.87,-73.82,59.0,67,0,8.05,CL,1579585081
264,monjaras,13.2,-87.37,79.43,63,72,6.49,HN,1579585287
265,los llanos de aridane,28.66,-17.92,60.8,72,90,6.93,ES,1579585287
266,san ramon de la nueva oran,-23.13,-64.33,72.01,96,100,3.8,AR,1579585288
267,ndioum,16.51,-14.65,67.48,17,0,8.43,SN,1579585115
268,poum,-20.23,164.02,78.28,74,4,13.62,NC,1579585289
269,chapais,49.78,-74.85,-0.4,77,90,8.05,CA,1579585196
270,logan,41.74,-111.83,33.01,85,20,3.36,US,1579585191
271,tra vinh,9.93,106.35,89.47,45,0,12.28,VN,1579585290
272,ostersund,63.18,14.64,35.01,80,66,19.46,SE,1579585201
273,lahat,-3.8,103.53,83.01,62,78,5.21,ID,1579585291
